delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0.563,0.005,0.341,0.955,0.558,0.451
0.613,0.006,0.33,0.962,0.606,0.298
0.589,0.009,0.283,0.966,0.616,0.216
0.506,0.013,0.23,0.967,0.585,0.167
0.379,0.013,0.174,0.967,0.521,0.119
0.282,0.009,0.117,0.966,0.411,0.08
0.183,0.008,0.078,0.961,0.269,0.06
0.076,0.013,0.03,0.937,0.122,0.064
0.006,0.044,0.001,0.841,0.028,0.121
0,0.166,0,0.651,0,0.319
0,0.329,0,0.523,0,0.548
0,0.481,0,0.539,0,0.701
0,0.571,0,0.622,0,0.79
0,0.584,0,0.676,0,0.849
0,0.522,0,0.676,0,0.888
0,0.421,0,0.669,0,0.904
0,0.346,0,0.651,0,0.915
0,0.277,0,0.618,0,0.885
0,0.234,0,0.608,0,0.818
0.021,0.206,0.003,0.638,0.002,0.743
0.11,0.204,0.068,0.745,0.057,0.756
0.23,0.125,0.181,0.924,0.175,0.715
0.358,0.048,0.297,0.959,0.316,0.643
0.495,0.007,0.39,0.97,0.443,0.59
0.579,0,0.442,0.972,0.533,0.475
0.593,0,0.461,0.973,0.58,0.38
0.575,0.001,0.462,0.972,0.587,0.37
0.485,0.002,0.444,0.971,0.557,0.404
0.406,0.004,0.365,0.971,0.489,0.385
0.306,0.006,0.264,0.972,0.382,0.33
0.193,0.008,0.156,0.973,0.251,0.303
0.079,0.009,0.061,0.958,0.12,0.314
0.006,0.014,0.002,0.882,0.027,0.425
0,0.03,0,0.724,0,0.635
0,0.057,0,0.6,0,0.773
0,0.091,0,0.508,0,0.842
0,0.111,0,0.607,0,0.874
0,0.104,0,0.692,0,0.899
0,0.092,0,0.658,0,0.932
0,0.096,0,0.617,0,0.928
0,0.092,0,0.625,0,0.901
0,0.089,0,0.648,0,0.865
0,0.105,0,0.696,0,0.84
0.02,0.107,0.001,0.753,0.002,0.8
0.112,0.052,0.054,0.884,0.057,0.799
0.246,0.007,0.166,0.973,0.179,0.777
0.387,0,0.281,0.963,0.329,0.724
0.492,0,0.381,0.958,0.462,0.677
0.569,0,0.437,0.955,0.556,0.63
0.573,0.001,0.469,0.945,0.602,0.578
0.559,0.002,0.456,0.937,0.608,0.529
0.5,0.002,0.399,0.929,0.573,0.471
0.411,0.001,0.316,0.921,0.504,0.405
0.324,0,0.222,0.928,0.393,0.33
0.2,0.001,0.12,0.956,0.256,0.289
0.081,0.002,0.041,0.973,0.12,0.295
0.006,0.013,0.001,0.963,0.026,0.38
0,0.103,0,0.961,0,0.534
0,0.202,0,0.958,0,0.732
0,0.222,0,0.952,0,0.872
0,0.196,0,0.942,0,0.951
0,0.159,0,0.93,0,0.97
0,0.121,0,0.933,0,0.959
0,0.08,0,0.943,0,0.954
0,0.041,0,0.953,0,0.943
0,0.017,0,0.957,0,0.901
0,0.009,0,0.963,0,0.826
0.019,0.009,0.002,0.963,0.001,0.727
0.113,0.02,0.066,0.966,0.057,0.701
0.25,0.048,0.191,0.944,0.179,0.643
0.387,0.07,0.328,0.871,0.33,0.618
0.497,0.086,0.401,0.854,0.464,0.618
0.568,0.08,0.402,0.851,0.56,0.592
0.603,0.063,0.381,0.848,0.615,0.556
0.569,0.046,0.309,0.838,0.622,0.537
0.502,0.032,0.218,0.822,0.588,0.556
0.405,0.022,0.167,0.818,0.513,0.522
0.314,0.016,0.125,0.836,0.4,0.453
0.188,0.011,0.069,0.882,0.261,0.421
0.074,0.012,0.023,0.954,0.121,0.435
0.006,0.052,0,0.971,0.026,0.494
0,0.189,0,0.963,0,0.581
0,0.25,0,0.954,0,0.709
0,0.244,0,0.946,0,0.835
0,0.244,0,0.945,0,0.921
0,0.275,0,0.948,0,0.952
0,0.246,0,0.949,0,0.932
0,0.184,0,0.951,0,0.886
0,0.123,0,0.954,0,0.861
0,0.07,0,0.957,0,0.851
0,0.034,0,0.955,0,0.827
0.012,0.011,0,0.951,0.001,0.788
0.078,0,0.035,0.946,0.058,0.794
0.184,0,0.113,0.971,0.178,0.757
0.316,0.001,0.215,0.973,0.322,0.722
0.453,0.002,0.305,0.973,0.451,0.718
0.547,0.002,0.358,0.973,0.545,0.706
0.589,0.003,0.363,0.972,0.584,0.683
0.563,0.003,0.348,0.97,0.563,0.657
0.517,0.004,0.328,0.967,0.5,0.634
0.444,0.005,0.282,0.964,0.42,0.58
0.328,0.006,0.209,0.964,0.323,0.494
0.198,0.006,0.129,0.97,0.209,0.43
0.083,0.004,0.048,0.971,0.095,0.402
0.006,0.002,0.001,0.951,0.017,0.431
0,0.002,0,0.944,0,0.542
0,0.002,0,0.943,0,0.723
0,0.001,0,0.931,0,0.874
0,0,0,0.913,0,0.957
0,0,0,0.891,0,0.969
0,0,0,0.867,0,0.96
0,0,0,0.846,0,0.966
0,0,0,0.807,0,0.97
0,0,0,0.748,0,0.971
0,0,0,0.713,0,0.951
0.023,0.001,0.001,0.681,0.001,0.919
0.118,0.004,0.039,0.722,0.056,0.922
0.256,0.005,0.115,0.879,0.174,0.905
0.393,0.008,0.192,0.929,0.317,0.868
0.501,0.015,0.265,0.952,0.444,0.822
0.572,0.031,0.341,0.966,0.536,0.764
0.588,0.053,0.357,0.973,0.599,0.697
0.579,0.071,0.332,0.968,0.605,0.632
0.534,0.082,0.289,0.95,0.566,0.589
0.458,0.074,0.228,0.939,0.484,0.539
0.343,0.061,0.164,0.94,0.382,0.491
0.208,0.051,0.102,0.955,0.25,0.477
0.069,0.049,0.037,0.972,0.119,0.497
0.004,0.082,0,0.956,0.025,0.553
0,0.215,0,0.923,0,0.664
0,0.374,0,0.906,0,0.804
0,0.401,0,0.893,0,0.899
0,0.311,0,0.896,0,0.959
0,0.195,0,0.904,0,0.973
0,0.11,0,0.905,0,0.971
0,0.066,0,0.897,0,0.967
0,0.052,0,0.883,0,0.97
0,0.056,0,0.863,0,0.972
0,0.068,0,0.844,0,0.965
0.012,0.08,0.002,0.841,0.001,0.955
0.075,0.094,0.061,0.889,0.057,0.962
0.169,0.24,0.165,0.97,0.181,0.965
0.278,0.425,0.282,0.971,0.329,0.966
0.4,0.516,0.375,0.972,0.459,0.965
0.543,0.556,0.418,0.973,0.551,0.961
0.562,0.581,0.409,0.973,0.585,0.954
0.549,0.592,0.385,0.973,0.591,0.943
0.48,0.589,0.338,0.972,0.555,0.93
0.393,0.488,0.28,0.972,0.48,0.893
0.295,0.313,0.206,0.972,0.371,0.836
0.173,0.155,0.128,0.971,0.241,0.804
0.063,0.051,0.052,0.953,0.113,0.816
0.003,0.003,0.001,0.899,0.023,0.868
0,0.009,0,0.855,0,0.941
0,0.132,0,0.847,0,0.972
0,0.317,0,0.836,0,0.971
0,0.358,0,0.841,0,0.972
0,0.301,0,0.853,0,0.968
0,0.246,0,0.858,0,0.951
0,0.219,0,0.864,0,0.947
0,0.224,0,0.868,0,0.966
0,0.251,0,0.851,0,0.972
0,0.291,0,0.842,0,0.967
0.016,0.308,0.003,0.862,0.001,0.961
0.102,0.264,0.068,0.874,0.056,0.969
0.234,0.53,0.192,0.962,0.18,0.965
0.375,0.739,0.319,0.972,0.331,0.953
0.482,0.709,0.41,0.962,0.463,0.936
0.547,0.654,0.472,0.958,0.556,0.911
0.575,0.608,0.482,0.957,0.61,0.883
0.53,0.58,0.457,0.957,0.615,0.861
0.49,0.556,0.402,0.954,0.577,0.848
0.357,0.515,0.33,0.956,0.509,0.832
0.255,0.453,0.225,0.965,0.395,0.806
0.147,0.393,0.129,0.973,0.254,0.79
0.053,0.303,0.047,0.951,0.118,0.807
0.003,0.248,0.001,0.913,0.024,0.858
0,0.269,0,0.926,0,0.927
0,0.382,0,0.941,0,0.962
0,0.553,0,0.938,0,0.973
0,0.691,0,0.924,0,0.967
0,0.777,0,0.903,0,0.926
0,0.802,0,0.879,0,0.853
0,0.8,0,0.878,0,0.844
0,0.8,0,0.859,0,0.88
0,0.771,0,0.841,0,0.916
0,0.761,0,0.838,0,0.942
0.017,0.753,0.003,0.859,0.001,0.959
0.103,0.753,0.068,0.852,0.056,0.959
0.232,0.852,0.189,0.931,0.179,0.962
0.361,0.839,0.323,0.951,0.327,0.969
0.469,0.73,0.413,0.962,0.459,0.973
0.539,0.625,0.473,0.967,0.553,0.973
0.559,0.584,0.496,0.97,0.601,0.973
0.545,0.584,0.504,0.97,0.602,0.972
0.483,0.593,0.476,0.968,0.564,0.972
0.396,0.573,0.404,0.969,0.488,0.971
0.27,0.531,0.3,0.971,0.373,0.969
0.158,0.461,0.171,0.969,0.239,0.969
0.056,0.369,0.064,0.952,0.111,0.971
0.003,0.329,0.002,0.912,0.021,0.973
0,0.365,0,0.886,0,0.972
0,0.494,0,0.858,0,0.969
0,0.634,0,0.812,0,0.973
0,0.704,0,0.794,0,0.97
0,0.726,0,0.794,0,0.942
0,0.733,0,0.764,0,0.93
0,0.757,0,0.72,0,0.92
0,0.778,0,0.709,0,0.911
0,0.794,0,0.724,0,0.942
0,0.805,0,0.724,0,0.967
0.015,0.802,0.002,0.683,0.001,0.973
0.095,0.849,0.064,0.749,0.056,0.972
0.22,0.919,0.194,0.849,0.179,0.971
0.35,0.895,0.322,0.871,0.33,0.966
0.46,0.822,0.428,0.867,0.464,0.96
0.534,0.745,0.49,0.858,0.559,0.953
0.559,0.704,0.511,0.869,0.601,0.948
0.537,0.7,0.502,0.887,0.608,0.943
0.481,0.706,0.466,0.898,0.574,0.94
0.412,0.695,0.412,0.9,0.507,0.935
0.291,0.665,0.313,0.893,0.391,0.933
0.171,0.618,0.187,0.87,0.253,0.939
0.064,0.523,0.072,0.799,0.118,0.951
0.004,0.45,0.003,0.628,0.023,0.961
0,0.442,0,0.526,0,0.967
0,0.478,0,0.494,0,0.973
0,0.539,0,0.464,0,0.959
0,0.598,0,0.451,0,0.944
0,0.659,0,0.445,0,0.906
0,0.724,0,0.453,0,0.844
0,0.773,0,0.485,0,0.834
0,0.793,0,0.523,0,0.898
0,0.806,0,0.531,0,0.954
0,0.819,0,0.493,0,0.971
0.015,0.828,0.003,0.468,0.001,0.973
0.1,0.829,0.067,0.556,0.055,0.972
0.23,0.934,0.195,0.787,0.181,0.969
0.367,0.967,0.333,0.802,0.333,0.973
0.481,0.956,0.428,0.794,0.467,0.972
0.56,0.92,0.497,0.784,0.561,0.967
0.537,0.871,0.527,0.791,0.621,0.961
0.552,0.828,0.529,0.815,0.626,0.953
0.518,0.797,0.486,0.841,0.592,0.944
0.418,0.758,0.38,0.855,0.51,0.938
0.304,0.707,0.247,0.859,0.399,0.939
0.181,0.654,0.152,0.846,0.259,0.943
0.067,0.552,0.057,0.758,0.12,0.955
0.004,0.456,0.002,0.587,0.024,0.967
0,0.359,0,0.501,0,0.973
0,0.271,0,0.471,0,0.959
0,0.212,0,0.491,0,0.933
0,0.197,0,0.489,0,0.913
0,0.225,0,0.48,0,0.903
0,0.272,0,0.465,0,0.892
0,0.308,0,0.457,0,0.897
0,0.325,0,0.465,0,0.928
0,0.37,0,0.501,0,0.953
0,0.483,0,0.502,0,0.96
0.017,0.465,0.002,0.517,0.001,0.966
0.104,0.32,0.066,0.612,0.055,0.965
0.239,0.508,0.201,0.847,0.175,0.966
0.38,0.621,0.345,0.881,0.318,0.969
0.496,0.556,0.454,0.876,0.443,0.973
0.571,0.453,0.518,0.874,0.532,0.968
0.567,0.362,0.521,0.886,0.557,0.955
0.564,0.303,0.507,0.898,0.559,0.941
0.518,0.275,0.467,0.906,0.519,0.932
0.431,0.26,0.381,0.916,0.442,0.926
0.32,0.251,0.288,0.914,0.331,0.931
0.188,0.237,0.183,0.877,0.209,0.948
0.064,0.206,0.07,0.748,0.096,0.969
0.003,0.173,0.002,0.523,0.017,0.97
0,0.154,0,0.448,0,0.948
0,0.126,0,0.486,0,0.937
0,0.086,0,0.523,0,0.933
0,0.057,0,0.551,0,0.883
0,0.027,0,0.572,0,0.877
0,0.012,0,0.583,0,0.893
0,0.011,0,0.566,0,0.902
0,0.012,0,0.519,0,0.911
0,0.018,0,0.47,0,0.92
0,0.032,0,0.473,0,0.934
0.015,0.05,0.002,0.495,0,0.948
0.096,0.151,0.066,0.636,0.052,0.945
0.218,0.348,0.197,0.875,0.171,0.955
0.351,0.394,0.328,0.891,0.312,0.968
0.465,0.322,0.416,0.868,0.439,0.973
0.541,0.237,0.479,0.834,0.532,0.972
0.551,0.179,0.502,0.795,0.598,0.97
0.537,0.151,0.47,0.761,0.601,0.968
0.49,0.135,0.398,0.742,0.56,0.968
0.365,0.118,0.302,0.761,0.469,0.966
0.238,0.103,0.261,0.802,0.361,0.964
0.124,0.098,0.174,0.808,0.232,0.966
0.04,0.078,0.067,0.732,0.106,0.971
0.001,0.035,0.002,0.556,0.019,0.973
0,0.009,0,0.419,0,0.973
0,0.01,0,0.345,0,0.973
0,0.036,0,0.327,0,0.973
0,0.087,0,0.33,0,0.97
0,0.139,0,0.316,0,0.967
0,0.19,0,0.332,0,0.967
0,0.219,0,0.328,0,0.97
0,0.216,0,0.331,0,0.972
0,0.197,0,0.367,0,0.973
0,0.186,0,0.408,0,0.973
0.012,0.162,0.002,0.445,0.001,0.968
0.085,0.109,0.065,0.571,0.055,0.97
0.204,0.142,0.191,0.797,0.175,0.971
0.348,0.178,0.315,0.86,0.322,0.963
0.473,0.134,0.441,0.876,0.452,0.941
0.547,0.073,0.534,0.873,0.547,0.915
0.537,0.031,0.573,0.869,0.579,0.895
0.531,0.011,0.574,0.871,0.584,0.88
0.485,0.004,0.533,0.876,0.547,0.864
0.356,0.002,0.455,0.887,0.469,0.837
0.26,0.003,0.308,0.898,0.359,0.805
0.156,0.006,0.178,0.9,0.23,0.783
0.058,0.011,0.068,0.884,0.104,0.79
0.003,0.015,0.002,0.81,0.019,0.813
0,0.036,0,0.678,0,0.846
0,0.037,0,0.598,0,0.898
0,0.017,0,0.512,0,0.942
0,0.007,0,0.455,0,0.962
0,0.004,0,0.439,0,0.973
0,0.003,0,0.444,0,0.972
0,0.003,0,0.432,0,0.973
0,0.006,0,0.421,0,0.967
0,0.021,0,0.392,0,0.945
0,0.052,0,0.362,0,0.905
0.012,0.077,0.003,0.33,0,0.846
0.09,0.045,0.064,0.424,0.044,0.785
0.21,0.004,0.201,0.646,0.158,0.713
0.356,0,0.347,0.701,0.292,0.646
0.483,0,0.482,0.676,0.397,0.596
0.528,0,0.568,0.629,0.481,0.553
0.59,0.001,0.611,0.591,0.542,0.512
0.581,0.003,0.608,0.576,0.561,0.456
0.518,0.006,0.565,0.577,0.525,0.393
0.381,0.013,0.471,0.614,0.448,0.326
0.282,0.029,0.349,0.675,0.356,0.266
0.175,0.05,0.186,0.753,0.235,0.231
0.069,0.07,0.067,0.817,0.112,0.223
0.004,0.08,0.002,0.823,0.021,0.239
0,0.074,0,0.795,0,0.291
0,0.058,0,0.751,0,0.391
0,0.04,0,0.668,0,0.569
0,0.025,0,0.605,0,0.788
0,0.012,0,0.556,0,0.922
0,0.004,0,0.534,0,0.955
0,0.002,0,0.531,0,0.958
0,0.001,0,0.484,0,0.944
0,0.001,0,0.414,0,0.929
0,0.001,0,0.359,0,0.914
0.006,0,0.002,0.362,0,0.883
0.046,0.001,0.063,0.497,0.052,0.848
0.109,0.002,0.207,0.655,0.172,0.799
0.176,0.002,0.367,0.67,0.315,0.755
0.275,0.001,0.496,0.595,0.448,0.708
0.395,0,0.579,0.474,0.547,0.68
0.433,0,0.619,0.364,0.601,0.683
0.496,0,0.614,0.279,0.609,0.651
0.488,0,0.57,0.219,0.58,0.561
0.422,0,0.472,0.218,0.507,0.445
0.31,0,0.352,0.267,0.395,0.353
0.173,0.002,0.205,0.359,0.256,0.298
0.068,0.004,0.068,0.501,0.118,0.274
0.003,0.01,0.002,0.622,0.021,0.289
0,0.015,0,0.71,0,0.391
0,0.019,0,0.761,0,0.531
0,0.021,0,0.745,0,0.645
0,0.018,0,0.691,0,0.745
0,0.013,0,0.648,0,0.822
0,0.007,0,0.606,0,0.869
0,0.003,0,0.566,0,0.9
0,0.002,0,0.533,0,0.872
0,0.002,0,0.457,0,0.828
0,0.003,0,0.373,0,0.707
0.016,0.005,0.003,0.304,0,0.526
0.104,0.007,0.067,0.315,0.052,0.414
0.243,0.011,0.207,0.303,0.172,0.308
0.383,0.01,0.364,0.209,0.317,0.245
0.494,0.007,0.483,0.111,0.447,0.196
0.565,0.005,0.556,0.049,0.536,0.167
0.603,0.005,0.582,0.023,0.565,0.155
0.595,0.005,0.553,0.011,0.577,0.147
0.546,0.005,0.481,0.006,0.561,0.134
0.444,0.004,0.355,0.004,0.492,0.118
0.326,0.003,0.179,0.003,0.391,0.106
0.194,0.002,0.1,0.002,0.253,0.093
0.07,0.002,0.045,0.002,0.119,0.082
0.003,0.001,0.001,0.002,0.02,0.075
0,0.001,0,0.002,0,0.083
0,0.003,0,0.004,0,0.1
0,0.007,0,0.011,0,0.138
0,0.01,0,0.018,0,0.206
0,0.01,0,0.018,0,0.293
0,0.011,0,0.016,0,0.373
0,0.015,0,0.037,0,0.406
0,0.025,0,0.057,0,0.341
0,0.035,0,0.039,0,0.256
0,0.041,0,0.021,0,0.216
0.016,0.036,0.001,0.044,0,0.217
0.103,0.015,0.061,0.036,0.054,0.218
0.247,0.008,0.18,0.006,0.179,0.164
0.396,0.011,0.297,0.009,0.33,0.051
0.515,0.015,0.395,0.013,0.463,0.005
0.592,0.02,0.472,0.009,0.539,0.001
0.604,0.024,0.475,0.004,0.594,0
0.593,0.027,0.436,0.001,0.592,0
0.545,0.027,0.345,0,0.545,0
0.46,0.03,0.226,0,0.406,0
0.338,0.028,0.144,0,0.312,0.001
0.185,0.023,0.073,0,0.207,0.003
0.069,0.019,0.024,0.001,0.099,0.003
0.004,0.016,0,0.003,0.017,0.003
0,0.012,0,0.005,0,0.011
0,0.007,0,0.005,0,0.043
0,0.005,0,0.004,0,0.134
0,0.007,0,0.003,0,0.271
0,0.013,0,0.004,0,0.392
0,0.03,0,0.007,0,0.459
0,0.047,0,0.019,0,0.483
0,0.063,0,0.056,0,0.415
0,0.088,0,0.112,0,0.297
0,0.127,0,0.148,0,0.209
0.015,0.157,0.001,0.096,0,0.149
0.102,0.217,0.051,0.081,0.052,0.078
0.239,0.38,0.157,0.104,0.176,0
0.379,0.373,0.241,0.107,0.329,0.001
0.492,0.29,0.335,0.122,0.463,0.003
0.561,0.201,0.379,0.127,0.559,0.005
0.584,0.121,0.407,0.112,0.606,0.007
0.578,0.066,0.392,0.099,0.612,0.009
0.531,0.033,0.301,0.091,0.572,0.009
0.45,0.017,0.228,0.089,0.454,0.005
0.332,0.011,0.165,0.1,0.37,0.001
0.197,0.009,0.105,0.122,0.25,0.001
0.072,0.009,0.037,0.17,0.118,0.001
0.004,0.014,0,0.24,0.021,0.002
0,0.022,0,0.293,0,0.004
0,0.033,0,0.332,0,0.007
0,0.05,0,0.349,0,0.017
0,0.079,0,0.345,0,0.036
0,0.134,0,0.37,0,0.06
0,0.202,0,0.391,0,0.082
0,0.235,0,0.373,0,0.102
0,0.204,0,0.362,0,0.076
0,0.153,0,0.37,0,0.029
0,0.117,0,0.369,0,0.005
0.015,0.077,0.003,0.365,0,0.001
0.103,0.062,0.06,0.544,0.052,0.003
0.24,0.073,0.208,0.743,0.176,0.004
0.38,0.044,0.355,0.75,0.325,0.001
0.489,0.021,0.464,0.702,0.457,0.001
0.556,0.01,0.547,0.654,0.55,0.002
0.551,0.006,0.577,0.609,0.609,0.004
0.54,0.005,0.573,0.595,0.619,0.005
0.492,0.005,0.525,0.598,0.576,0.005
0.42,0.004,0.45,0.573,0.496,0.004
0.309,0.003,0.338,0.545,0.367,0.003
0.184,0.003,0.196,0.54,0.239,0.004
0.068,0.004,0.07,0.492,0.109,0.008
0.003,0.009,0.002,0.455,0.019,0.026
0,0.019,0,0.454,0,0.101
0,0.035,0,0.446,0,0.261
0,0.049,0,0.439,0,0.465
0,0.047,0,0.486,0,0.635
0,0.03,0,0.514,0,0.72
0,0.014,0,0.519,0,0.726
0,0.007,0,0.551,0,0.664
0,0.005,0,0.46,0,0.556
0,0.005,0,0.29,0,0.377
0,0.006,0,0.162,0,0.208
0.014,0.004,0.002,0.107,0,0.109
0.098,0,0.064,0.118,0.054,0.066
0.221,0,0.202,0.187,0.176,0.018
0.343,0.001,0.353,0.239,0.298,0
0.425,0.003,0.473,0.317,0.409,0
0.484,0.007,0.547,0.455,0.506,0.001
0.491,0.012,0.566,0.655,0.546,0.006
0.496,0.021,0.552,0.815,0.547,0.02
0.47,0.029,0.501,0.889,0.504,0.049
0.413,0.037,0.438,0.916,0.415,0.097
0.319,0.049,0.319,0.912,0.291,0.134
0.19,0.064,0.182,0.894,0.184,0.169
0.069,0.07,0.065,0.842,0.081,0.209
0.003,0.063,0.001,0.714,0.013,0.259
0,0.045,0,0.623,0,0.304
0,0.024,0,0.59,0,0.309
0,0.006,0,0.617,0,0.31
0,0.009,0,0.603,0,0.352
0,0.011,0,0.567,0,0.417
0,0.013,0,0.475,0,0.465
0,0.023,0,0.458,0,0.493
0,0.046,0,0.461,0,0.494
0,0.079,0,0.499,0,0.475
0,0.107,0,0.504,0,0.494
0.016,0.116,0.001,0.485,0,0.504
0.104,0.079,0.066,0.454,0.051,0.628
0.251,0.144,0.193,0.673,0.175,0.672
0.392,0.257,0.291,0.754,0.322,0.688
0.508,0.335,0.372,0.768,0.45,0.7
0.58,0.349,0.401,0.766,0.541,0.713
0.603,0.33,0.409,0.781,0.602,0.731
0.593,0.295,0.373,0.834,0.605,0.745
0.523,0.276,0.281,0.883,0.575,0.761
0.404,0.215,0.202,0.915,0.506,0.753
0.273,0.151,0.15,0.935,0.394,0.726
0.154,0.107,0.082,0.941,0.257,0.719
0.051,0.107,0.025,0.926,0.118,0.719
0.001,0.2,0,0.855,0.02,0.719
0,0.224,0,0.804,0,0.72
0,0.291,0,0.793,0,0.777
0,0.364,0,0.778,0,0.858
0,0.349,0,0.763,0,0.931
0,0.272,0,0.75,0,0.97
0,0.282,0,0.727,0,0.973
0,0.226,0,0.68,0,0.973
0,0.119,0,0.617,0,0.973
0,0.099,0,0.548,0,0.969
0,0.139,0,0.424,0,0.962
0.004,0.319,0,0.309,0,0.957
0.045,0.466,0.032,0.319,0.051,0.962
0.124,0.541,0.093,0.622,0.176,0.967
0.215,0.384,0.157,0.727,0.316,0.969
0.274,0.214,0.231,0.748,0.439,0.966
0.27,0.09,0.316,0.779,0.536,0.961
0.267,0.029,0.353,0.822,0.578,0.954
0.248,0.011,0.375,0.864,0.589,0.944
0.229,0.008,0.338,0.89,0.557,0.93
0.188,0.015,0.262,0.903,0.466,0.917
0.141,0.047,0.187,0.902,0.355,0.912
0.083,0.11,0.109,0.878,0.223,0.918
0.032,0.134,0.036,0.779,0.098,0.934
0.001,0.087,0,0.561,0.015,0.956
0,0.041,0,0.483,0,0.972
0,0.013,0,0.494,0,0.968
0,0.006,0,0.568,0,0.963
0,0.008,0,0.64,0,0.966
0,0.009,0,0.685,0,0.97
0,0.013,0,0.683,0,0.972
0,0.02,0,0.632,0,0.973
0,0.023,0,0.56,0,0.972
0,0.023,0,0.5,0,0.962
0,0.028,0,0.463,0,0.939
0.008,0.034,0,0.456,0,0.899
0.08,0.051,0.045,0.417,0.043,0.861
0.189,0.085,0.133,0.734,0.156,0.81
0.304,0.103,0.217,0.903,0.31,0.727
0.404,0.115,0.303,0.917,0.451,0.628
0.46,0.113,0.373,0.922,0.548,0.508
0.457,0.092,0.416,0.933,0.589,0.381
0.427,0.066,0.396,0.942,0.59,0.243
0.386,0.041,0.357,0.946,0.55,0.118
0.326,0.022,0.271,0.955,0.466,0.036
0.233,0.012,0.188,0.956,0.357,0.008
0.135,0.011,0.098,0.945,0.227,0.003
0.048,0.015,0.029,0.893,0.101,0.005
0.001,0.021,0,0.878,0.015,0.023
0,0.027,0,0.903,0,0.102
0,0.04,0,0.932,0,0.41
0,0.057,0,0.936,0,0.843
0,0.06,0,0.936,0,0.953
0,0.043,0,0.936,0,0.971
0,0.024,0,0.929,0,0.969
0,0.015,0,0.91,0,0.953
0,0.017,0,0.874,0,0.919
0,0.036,0,0.855,0,0.861
0,0.078,0,0.862,0,0.79
0.013,0.129,0,0.863,0,0.726
0.103,0.27,0.037,0.859,0.044,0.69
0.234,0.556,0.113,0.938,0.157,0.636
0.356,0.636,0.178,0.972,0.29,0.576
0.495,0.599,0.233,0.97,0.411,0.525
0.564,0.598,0.296,0.962,0.497,0.442
0.553,0.649,0.34,0.956,0.548,0.307
0.51,0.715,0.388,0.95,0.527,0.205
0.448,0.779,0.371,0.947,0.467,0.14
0.361,0.788,0.289,0.954,0.371,0.098
0.257,0.756,0.197,0.966,0.264,0.067
0.147,0.706,0.107,0.973,0.153,0.055
0.049,0.584,0.033,0.954,0.072,0.069
0.001,0.398,0,0.925,0.012,0.11
0,0.334,0,0.929,0,0.225
0,0.334,0,0.932,0,0.52
0,0.338,0,0.927,0,0.772
0,0.327,0,0.924,0,0.88
0,0.33,0,0.92,0,0.864
0,0.34,0,0.914,0,0.778
0,0.352,0,0.893,0,0.649
0,0.36,0,0.846,0,0.517
0,0.365,0,0.794,0,0.384
0,0.382,0,0.763,0,0.277
0.014,0.382,0,0.748,0,0.201
0.106,0.5,0.027,0.75,0.032,0.143
0.253,0.746,0.089,0.911,0.115,0.096
0.395,0.802,0.149,0.967,0.226,0.04
0.499,0.801,0.216,0.973,0.34,0.003
0.565,0.806,0.293,0.972,0.414,0
0.574,0.805,0.348,0.973,0.426,0
0.552,0.79,0.375,0.973,0.411,0.003
0.451,0.753,0.361,0.973,0.349,0.013
0.322,0.677,0.306,0.973,0.267,0.016
0.229,0.565,0.223,0.971,0.183,0.01
0.154,0.445,0.127,0.962,0.115,0.003
0.067,0.386,0.046,0.918,0.05,0
0.002,0.371,0,0.886,0.007,0
0,0.466,0,0.899,0,0.001
0,0.527,0,0.9,0,0.011
0,0.568,0,0.89,0,0.032
0,0.589,0,0.897,0,0.053
0,0.553,0,0.882,0,0.069
0,0.49,0,0.878,0,0.073
0,0.463,0,0.872,0,0.052
0,0.467,0,0.876,0,0.033
0,0.42,0,0.914,0,0.029
0,0.357,0,0.9,0,0.047
0.013,0.308,0,0.836,0,0.1
0.099,0.341,0.036,0.745,0.04,0.139
0.238,0.651,0.113,0.826,0.147,0.255
0.374,0.729,0.193,0.932,0.289,0.393
0.511,0.758,0.261,0.954,0.419,0.471
0.583,0.774,0.305,0.955,0.523,0.488
0.613,0.768,0.326,0.954,0.594,0.479
0.614,0.756,0.333,0.955,0.589,0.448
0.572,0.74,0.329,0.958,0.559,0.411
0.489,0.677,0.31,0.963,0.493,0.382
0.366,0.582,0.237,0.966,0.376,0.349
0.217,0.49,0.154,0.961,0.235,0.328
0.071,0.416,0.063,0.936,0.112,0.314
0.003,0.37,0.001,0.938,0.018,0.293
0,0.411,0,0.949,0,0.298
0,0.457,0,0.953,0,0.31
0,0.474,0,0.944,0,0.316
0,0.442,0,0.93,0,0.326
0,0.379,0,0.925,0,0.329
0,0.37,0,0.922,0,0.317
0,0.384,0,0.917,0,0.295
0,0.318,0,0.919,0,0.263
0,0.214,0,0.927,0,0.237
0,0.167,0,0.936,0,0.246
0.013,0.132,0,0.936,0,0.275
0.101,0.107,0.051,0.924,0.049,0.267
0.259,0.226,0.165,0.935,0.183,0.31
0.414,0.33,0.273,0.969,0.344,0.232
0.535,0.449,0.295,0.97,0.477,0.198
0.6,0.539,0.31,0.959,0.569,0.191
0.622,0.578,0.282,0.952,0.618,0.189
0.615,0.576,0.209,0.956,0.614,0.191
0.552,0.524,0.189,0.963,0.562,0.194
0.475,0.412,0.151,0.972,0.458,0.165
0.364,0.311,0.123,0.964,0.333,0.126
