delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0,0.029,0,0.29,0,0.498
0,0.038,0,0.274,0,0.491
0,0.04,0,0.262,0,0.483
0,0.061,0,0.252,0,0.476
0,0.112,0,0.234,0,0.471
0,0.178,0,0.207,0,0.451
0,0.219,0,0.177,0,0.407
0,0.214,0,0.153,0,0.365
0,0.179,0.004,0.162,0,0.335
0.047,0.135,0.202,0.12,0.063,0.308
0.173,0.046,0.443,0.113,0.3,0.173
0.352,0.016,0.607,0.212,0.517,0.092
0.489,0.064,0.702,0.117,0.651,0.105
0.519,0.126,0.725,0.036,0.701,0.072
0.525,0.176,0.721,0.009,0.715,0.081
0.468,0.233,0.667,0.003,0.671,0.124
0.345,0.266,0.551,0.001,0.569,0.207
0.181,0.276,0.382,0.002,0.395,0.327
0.036,0.374,0.155,0.013,0.162,0.471
0,0.523,0.003,0.117,0.005,0.672
0,0.64,0,0.321,0,0.771
0,0.71,0,0.491,0,0.795
0,0.763,0,0.551,0,0.804
0,0.796,0,0.548,0,0.822
0,0.826,0,0.538,0,0.843
0,0.854,0,0.545,0,0.848
0,0.854,0,0.538,0,0.846
0,0.852,0,0.494,0,0.836
0,0.852,0,0.386,0,0.828
0,0.836,0,0.289,0,0.809
0,0.79,0,0.249,0,0.788
0,0.761,0,0.256,0,0.755
0.002,0.743,0.004,0.279,0,0.688
0.286,0.523,0.204,0.151,0.089,0.546
0.532,0.226,0.446,0.114,0.357,0.25
0.69,0.505,0.613,0.225,0.569,0.151
0.78,0.868,0.711,0.242,0.698,0.322
0.807,0.884,0.726,0.227,0.746,0.206
0.794,0.89,0.721,0.193,0.758,0.111
0.727,0.892,0.666,0.163,0.715,0.058
0.578,0.87,0.534,0.135,0.613,0.039
0.375,0.837,0.369,0.125,0.445,0.044
0.107,0.816,0.151,0.136,0.204,0.107
0,0.863,0.003,0.187,0.009,0.209
0,0.9,0,0.256,0,0.267
0,0.907,0,0.348,0,0.31
0,0.9,0,0.38,0,0.326
0,0.894,0,0.315,0,0.291
0,0.883,0,0.237,0,0.224
0,0.868,0,0.226,0,0.18
0,0.842,0,0.256,0,0.163
0,0.808,0,0.265,0,0.153
0,0.807,0,0.245,0,0.133
0,0.808,0,0.212,0,0.104
0,0.8,0,0.179,0,0.117
0,0.789,0,0.162,0,0.175
0.001,0.757,0.004,0.15,0,0.236
0.217,0.53,0.193,0.064,0.09,0.282
0.495,0.192,0.419,0.073,0.353,0.158
0.659,0.16,0.592,0.207,0.548,0.038
0.74,0.615,0.689,0.202,0.677,0.002
0.785,0.577,0.722,0.168,0.756,0
0.77,0.531,0.716,0.137,0.768,0
0.698,0.548,0.634,0.117,0.721,0
0.556,0.551,0.509,0.11,0.636,0.002
0.36,0.471,0.363,0.12,0.479,0.004
0.101,0.457,0.145,0.153,0.245,0.004
0,0.453,0.003,0.254,0.01,0.002
0,0.397,0,0.37,0,0.003
0,0.319,0,0.484,0,0.013
0,0.29,0,0.548,0,0.043
0,0.269,0,0.542,0,0.086
0,0.193,0,0.501,0,0.11
0,0.111,0,0.499,0,0.097
0,0.061,0,0.534,0,0.07
0,0.045,0,0.552,0,0.049
0,0.048,0,0.545,0,0.039
0,0.03,0,0.508,0,0.027
0,0.006,0,0.486,0,0.021
0,0.015,0,0.494,0,0.025
0,0.018,0.003,0.523,0,0.036
0.162,0.005,0.172,0.301,0.06,0.047
0.405,0,0.401,0.206,0.219,0.039
0.583,0,0.567,0.24,0.299,0.013
0.66,0.001,0.668,0.102,0.537,0
0.504,0.001,0.702,0.054,0.675,0.005
0.326,0.002,0.699,0.054,0.71,0.011
0.231,0.004,0.647,0.068,0.673,0.016
0.191,0.005,0.545,0.088,0.586,0.016
0.187,0.004,0.382,0.113,0.414,0.014
0.047,0.003,0.162,0.152,0.178,0.014
0,0.005,0.004,0.241,0.007,0.015
0,0.012,0,0.274,0,0.028
0,0.021,0,0.233,0,0.059
0,0.019,0,0.166,0,0.117
0,0.013,0,0.134,0,0.169
0,0.01,0,0.141,0,0.196
0,0.012,0,0.182,0,0.195
0,0.023,0,0.233,0,0.199
0,0.048,0,0.244,0,0.238
0,0.074,0,0.242,0,0.313
0,0.087,0,0.239,0,0.401
0,0.097,0,0.208,0,0.471
0,0.13,0,0.179,0,0.511
0,0.192,0.006,0.152,0,0.546
0.153,0.261,0.231,0.069,0.082,0.563
0.393,0.132,0.463,0.026,0.335,0.35
0.575,0.034,0.616,0.087,0.543,0.159
0.675,0.089,0.709,0.089,0.671,0.405
0.636,0.079,0.749,0.138,0.711,0.463
0.627,0.065,0.745,0.18,0.718,0.327
0.559,0.056,0.693,0.188,0.67,0.184
0.455,0.054,0.575,0.175,0.566,0.109
0.261,0.075,0.41,0.161,0.393,0.113
0.058,0.135,0.182,0.147,0.165,0.226
0,0.229,0.005,0.137,0.007,0.498
0,0.36,0,0.113,0,0.656
0,0.431,0,0.096,0,0.692
0,0.462,0,0.108,0,0.683
0,0.473,0,0.146,0,0.67
0,0.468,0,0.193,0,0.667
0,0.487,0,0.252,0,0.663
0,0.51,0,0.306,0,0.651
0,0.537,0,0.349,0,0.609
0,0.562,0,0.357,0,0.556
0,0.55,0,0.349,0,0.496
0,0.516,0,0.31,0,0.436
0,0.465,0,0.24,0,0.379
0.001,0.427,0.006,0.184,0,0.345
0.199,0.37,0.238,0.085,0.062,0.344
0.453,0.113,0.469,0.065,0.28,0.203
0.626,0.035,0.622,0.182,0.484,0.077
0.717,0.111,0.715,0.078,0.615,0.049
0.702,0.087,0.752,0.036,0.677,0.022
0.688,0.081,0.747,0.034,0.687,0.021
0.614,0.074,0.696,0.04,0.643,0.032
0.459,0.069,0.598,0.04,0.557,0.029
0.259,0.083,0.437,0.04,0.391,0.018
0.051,0.12,0.208,0.057,0.167,0.014
0,0.153,0.007,0.126,0.007,0.02
0,0.173,0,0.198,0,0.045
0,0.188,0,0.256,0,0.1
0,0.197,0,0.292,0,0.198
0,0.204,0,0.313,0,0.319
0,0.174,0,0.341,0,0.432
0,0.116,0,0.387,0,0.512
0,0.082,0,0.433,0,0.545
0,0.078,0,0.464,0,0.548
0,0.104,0,0.448,0,0.481
0,0.138,0,0.411,0,0.351
0,0.133,0,0.402,0,0.213
0,0.092,0,0.405,0,0.117
0.001,0.045,0.01,0.389,0,0.083
0.162,0.046,0.285,0.184,0.06,0.075
0.401,0.031,0.507,0.151,0.241,0.064
0.576,0.017,0.649,0.359,0.396,0.064
0.67,0.088,0.734,0.199,0.536,0.056
0.683,0.136,0.771,0.111,0.667,0.017
0.667,0.149,0.764,0.092,0.682,0.002
0.59,0.135,0.71,0.098,0.621,0
0.433,0.111,0.598,0.113,0.509,0
0.21,0.097,0.434,0.133,0.307,0
0.044,0.127,0.205,0.159,0.1,0.029
0,0.178,0.007,0.239,0.003,0.19
0,0.225,0,0.293,0,0.359
0,0.258,0,0.307,0,0.453
0,0.269,0,0.285,0,0.515
0,0.237,0,0.247,0,0.539
0,0.206,0,0.228,0,0.527
0,0.185,0,0.234,0,0.483
0,0.149,0,0.255,0,0.422
0,0.082,0,0.272,0,0.36
0,0.026,0,0.285,0,0.307
0,0.003,0,0.285,0,0.26
0,0.001,0,0.269,0,0.222
