Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
252,7222.0,12506.0,39073.0
253,7327.0,12375.0,38635.0
254,7164.0,12946.0,37997.0
255,7634.0,13178.0,38653.0
256,8039.0,12673.0,39019.0
257,7868.0,13022.0,38092.0
258,7500.0,12891.0,37998.0
259,7156.0,13309.0,36161.0
260,7184.0,14047.0,36471.0
261,7093.0,14029.0,35902.0
262,7202.0,13853.0,35880.0
263,7767.0,14079.0,35773.0
264,7969.0,13643.0,36042.0
265,7748.0,12635.0,35945.0
266,7334.0,11825.0,35828.0
267,6879.0,11089.0,35750.0
268,6537.0,11300.0,36078.0
269,6206.0,12070.0,35890.0
270,6003.0,12305.0,36012.0
271,5816.0,13119.0,35416.0
272,5696.0,13585.0,36906.0
273,5811.0,13315.0,38156.0
274,6379.0,12447.0,38088.0
275,7013.0,11742.0,38644.0
276,7083.0,11266.0,38307.0
277,7270.0,10847.0,38233.0
278,7171.0,10732.0,38676.0
279,7634.0,11052.0,39486.0
280,7758.0,11434.0,39673.0
281,7345.0,11913.0,38369.0
282,7298.0,11809.0,38172.0
283,7035.0,12900.0,36298.0
284,7067.0,13557.0,36562.0
285,6946.0,13209.0,36727.0
286,6947.0,12715.0,36573.0
287,7487.0,12560.0,36909.0
288,7800.0,13302.0,37911.0
289,7359.0,13303.0,37576.0
290,6944.0,13278.0,35904.0
291,6701.0,12836.0,34754.0
292,6345.0,12632.0,34619.0
293,6031.0,12815.0,35167.0
294,5771.0,13755.0,36102.0
295,5659.0,14908.0,35674.0
296,5585.0,15713.0,36067.0
297,5688.0,15212.0,36847.0
298,6212.0,13723.0,37140.0
299,6872.0,14129.0,37309.0
300,7236.0,13887.0,37542.0
301,7365.0,12904.0,37779.0
302,7192.0,13114.0,37859.0
303,7642.0,12793.0,38904.0
304,8082.0,13537.0,38536.0
305,7990.0,13554.0,38158.0
306,7647.0,13922.0,37903.0
307,7259.0,13717.0,37266.0
308,7302.0,14689.0,37847.0
309,7198.0,15316.0,37725.0
310,7187.0,14954.0,37379.0
311,7771.0,15570.0,37659.0
312,8087.0,15332.0,37607.0
313,7870.0,15181.0,36675.0
314,7393.0,15239.0,36598.0
315,6982.0,14846.0,36955.0
316,6601.0,14441.0,36484.0
317,6280.0,13967.0,36104.0
318,5983.0,14698.0,37087.0
319,5799.0,15275.0,37934.0
320,5739.0,15670.0,38008.0
321,5812.0,15169.0,38210.0
322,6416.0,14686.0,38559.0
323,7080.0,14971.0,38671.0
324,7427.0,14715.0,39712.0
325,7694.0,14146.0,40105.0
326,7483.0,13822.0,39638.0
327,7884.0,13997.0,40055.0
328,8460.0,14115.0,40426.0
329,8320.0,13853.0,40064.0
330,7979.0,13360.0,38105.0
331,7511.0,12232.0,35511.0
332,7466.0,13247.0,36705.0
333,7466.0,14725.0,36483.0
334,7526.0,14833.0,36052.0
335,8086.0,16427.0,36124.0
336,8453.0,17327.0,36142.0
337,3738.0,15421.0,28504.0
338,3516.0,15161.0,28899.0
