Load_MW_z1,Load_MW_z2,Load_MW_z3
6352,15212,36641
6237,15410,36939
6379,14757,37525
6832,14352,37978
7841,13662,37967
8268,13137,38619
8490,13621,38619
8363,13303,38970
8886,13663,38998
9259,13331,39075
9111,14059,39704
8621,14185,38379
8120,13801,35750
8025,14221,36439
8182,14613,36518
8444,14082,36135
9154,15714,36148
9508,15908,36247
9182,15673,35451
8719,15026,35346
8348,14744,35443
7908,14133,36156
7509,13857,36327
7009,14410,36136
6553,15212,37159
6385,15603,36761
6292,15133,37416
6892,14589,37601
7796,14199,37232
8193,14215,38371
8494,14177,38609
8494,14111,37838
8989,14014,37842
9400,13596,38319
8877,12832,38212
8186,11601,36282
7702,11236,35320
7310,12481,36609
7454,14008,37123
7641,13626,36708
8357,13534,36266
8840,14242,36644
8682,12829,36881
8252,12549,36987
7808,12128,36744
7413,11058,36507
6998,10945,36139
6544,11953,36691
6141,13461,37715
6065,15048,37752
6082,14992,38502
6491,14671,38921
7085,14857,39276
7399,14338,39530
7535,14554,40472
7368,14839,40138
7739,14775,39994
8094,15400,40193
8086,14932,39733
7763,14379,38308
7372,13349,36564
7350,14120,36624
7512,15404,37048
7713,13321,36917
8288,12798,37079
8763,12805,37924
8383,12347,38068
8144,11932,37843
7748,12136,37435
7373,11639,36942
6979,11386,36673
6585,13269,37605
6140,13654,38099
5880,13445,37513
5633,13934,37305
5790,13778,37019
6203,13757,37462
6565,13925,38963
6926,14140,38556
7005,14349,37673
7475,14340,38051
7787,14583,38364
7338,13654,37528
5811,12308,35987
5132,10941,33666
5791,11286,34624
6313,12021,34947
6511,11463,35497
7079,11077,35922
7425,10755,37281
7321,9719,37256
6968,9301,36751
6665,8864,36459
6337,8546,35691
6021,8742,35611
5717,9706,36325
5504,10744,36882
5425,11743,36975
5577,11772,37288
6052,12614,37786
6613,12466,38301
6806,12427,39522
6851,12765,40567
6504,13211,40204
6672,13461,40733
6811,14006,40738
6704,13856,40394
6623,13349,38700
6426,12656,37143
6479,13888,36959
6486,15062,36746
6394,14950,36622
6727,15470,36949
6894,15506,38213
6687,14431,38054
6330,14786,37588
5986,14891,36608
5691,14246,36201
5421,13803,35945
5212,14233,36994
5154,15180,37610
5303,15851,37364
5583,15303,37720
6273,14343,37915
7053,14108,38982
7420,13960,40794
7539,13644,41188
7392,13637,41233
7740,13453,41381
7950,13595,41611
7867,13608,40296
7627,13406,38285
7219,12637,35956
7173,13777,36617
7221,15127,37876
7298,15246,37715
7921,15897,38460
8299,16675,39521
8045,15381,39542
7594,13853,38582
7193,13381,37795
6796,13502,37376
6452,13708,37080
6113,14407,37789
5835,14320,38001
5859,14401,37960
6057,14724,38241
6702,14381,38339
7502,14281,39694
7915,13756,41093
8104,13492,41626
7859,13525,41779
8528,13452,41979
8762,13518,41943
8626,13439,41419
8305,13345,39206
7824,12252,37198
7692,13140,37281
7857,13853,37154
8096,13814,36927
8784,14635,37227
9055,15074,38462
8672,15120,38268
8216,14945,37348
7805,14619,36604
7376,13613,35980
6967,13067,35878
6567,13815,36572
6220,14764,37217
6149,14896,37361
6244,14528,38041
6865,14159,38267
7792,13994,39410
8274,13849,40662
8573,13880,41030
8543,13804,40681
9016,13796,40935
9310,13759,40873
9178,13971,39029
8687,13275,36570
8223,12454,35421
8084,13696,36801
8291,15250,37442
8520,15376,37329
9101,15839,37629
9447,16518,38290
9133,16235,38525
8826,16607,38180
8414,16176,37533
8020,15429,37061
7642,14775,36452
7251,15287,37012
6767,16419,37564
6623,16748,37211
6749,16275,37026
7302,15800,36880
8118,15178,37800
8688,14620,39058
8970,14839,39618
8908,14822,39417
9444,14837,39804
9776,15277,40263
9645,15431,38703
9199,14847,36969
8441,13684,35855
8331,14252,36339
8726,15797,36823
8302,16128,36679
8735,16819,36944
9168,17259,38074
9004,17251,38130
8461,17101,37622
8344,16597,36536
8024,15995,36308
7660,15429,36126
7113,16210,36200
6604,17241,36694
6424,17463,36597
6389,16592,37202
6763,15884,36908
7431,14920,37020
7927,14418,38367
8325,14423,38864
8375,14436,38386
9073,14625,38959
9415,15024,39287
9240,15143,38275
8717,14440,36868
8022,13159,35207
7796,13736,35916
7947,15736,36309
8065,15854,35802
8563,17440,36270
9013,18303,37751
8912,17905,37864
8559,17395,37129
8205,16768,36255
7753,15966,36139
7302,15149,36092
6648,15810,36529
6020,16714,36947
5776,17240,36199
5678,16113,35869
5811,15621,35562
6234,14830,36178
6555,14413,38428
6818,14506,39139
6895,14590,38712
7366,14712,38836
7662,15093,38913
7529,15060,37756
7185,13898,35714
6903,12611,32481
6892,13196,32796
7222,14959,33296
7518,15157,34094
8223,16223,34836
8693,16795,35753
8455,15879,35910
7977,14903,35667
7564,13552,35008
7168,12193,35045
6912,10688,34796
6308,10181,35187
5605,11682,35915
5472,12260,35985
5513,12128,35517
6039,12270,36530
6839,12800,38096
7214,13987,40089
7387,13182,40535
7292,13005,40388
7607,13331,40783
7861,14332,40879
7807,14765,40309
7564,13981,38077
7204,12538,36236
7098,12498,36777
7188,13842,37115
7233,14360,36848
7789,15040,37405
8129,15435,38398
7843,15009,38054
7412,14754,37024
7017,14473,36348
6645,13739,36022
6347,13100,35703
5970,13706,36545
5732,14408,37337
5804,14538,36773
6026,13821,36277
6665,13160,36300
7391,12677,36890
7723,13182,37935
7900,13837,38268
7819,14135,37843
8225,14603,38092
8508,14890,38436
8399,14977,37841
8053,14154,37441
7614,13484,36291
7426,13965,36569
7556,15683,36992
7702,15561,36423
8310,16145,37313
8677,16707,39119
8382,15956,38900
7882,15557,38438
7417,15081,37749
6957,14259,37267
6585,13663,36856
6181,14567,37555
5893,15422,38151
5935,15467,38339
6162,14285,38161
6813,13028,38479
7593,12280,39744
7816,11478,41200
7287,10365,41542
6579,10669,40929
7099,11146,41100
7368,11491,41309
7306,12133,40509
7233,12102,38710
7058,11931,35993
6913,12437,36813
6966,14039,37560
6906,13564,37188
7312,14074,37786
7626,14126,38630
7371,13397,38476
6934,12694,37894
6586,12061,37555
6220,11556,37260
5949,10996,37409
5676,11427,38285
5447,12124,38777
5565,12491,38204
5840,11924,38199
6484,11655,38121
7271,11428,39365
7554,11397,40403
7762,11600,40777
7632,11846,40532
8066,12186,41118
8348,12761,40818
8276,13138,38932
7972,12883,36592
7547,12483,34543
7375,12749,34655
7470,14366,35534
7591,14411,35656
8261,15043,35928
8614,15536,36559
8252,15140,37037
7803,14632,36952
7342,14162,36667
6905,13541,36276
6550,13160,36195
6147,13858,36731
5833,14587,37394
5937,14221,37268
6141,14275,37169
6765,13909,37452
7538,13335,38314
7863,13376,39046
8031,13211,39193
7829,13341,39282
8315,13666,39159
8654,14094,39137
8555,14299,37458
8209,13795,35139
7767,12915,34373
7627,13792,35036
7780,15592,35566
7915,15026,35270
8587,15835,35596
8991,16571,35797
8656,15747,36216
8370,15418,36080
7956,14802,35175
7508,13874,34769
7195,13582,34681
6776,14269,35258
6604,14800,35996
6290,15481,35859
6328,14873,35678
6716,14030,35808
7365,13568,37165
7754,13554,37882
8097,13530,38495
7958,13427,38445
8447,13825,38019
8757,14656,37262
8722,14937,36123
8318,14303,33819
7838,13355,32261
7672,13935,32404
7948,15661,32867
8172,15809,33739
8790,16363,34491
9188,16773,35243
8971,16529,34626
8726,16340,34592
8461,15885,34129
8031,15208,33370
7613,14452,33300
7123,15123,34021
6586,15874,34130
6413,15929,33367
6277,14764,33212
6368,14208,32815
