Resource,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
1577,0.196,0.188,0.268,0.272,0.227,0.088
1578,0.015,0.15,0.049,0.431,0.049,0.106
1579,0,0.133,0,0.628,0,0.085
1580,0,0.132,0,0.717,0,0.055
1581,0,0.135,0,0.736,0,0.038
1582,0,0.128,0,0.724,0,0.03
1583,0,0.123,0,0.699,0,0.023
1584,0,0.136,0,0.654,0,0.011
1585,0,0.179,0,0.603,0,0.003
1586,0,0.214,0,0.569,0,0.002
1587,0,0.213,0,0.501,0,0.007
1588,0,0.184,0,0.402,0,0.024
1589,0,0.155,0,0.322,0,0.046
1590,0,0.132,0,0.251,0,0.083
1591,0.027,0.089,0.045,0.167,0.004,0.14
1592,0.166,0.016,0.276,0.034,0.152,0.142
1593,0.356,0,0.48,0.029,0.375,0.124
1594,0.587,0.001,0.623,0.018,0.56,0.103
1595,0.691,0.002,0.713,0.019,0.678,0.071
1596,0.736,0.003,0.753,0.03,0.713,0.072
1597,0.728,0.008,0.748,0.043,0.724,0.056
1598,0.663,0.018,0.696,0.063,0.684,0.053
1599,0.513,0.024,0.592,0.077,0.593,0.092
1600,0.304,0.026,0.438,0.08,0.442,0.142
1601,0.12,0.087,0.234,0.078,0.243,0.234
1602,0.008,0.448,0.037,0.109,0.054,0.494
1603,0,0.764,0,0.147,0,0.829
1604,0,0.806,0,0.159,0,0.914
1605,0,0.751,0,0.128,0,0.93
1606,0,0.706,0,0.098,0,0.928
1607,0,0.698,0,0.103,0,0.918
1608,0,0.727,0,0.131,0,0.895
1609,0,0.75,0,0.173,0,0.878
1610,0,0.739,0,0.249,0,0.851
1611,0,0.674,0,0.349,0,0.785
1612,0,0.576,0,0.408,0,0.701
1613,0,0.491,0,0.419,0,0.641
1614,0,0.494,0,0.392,0,0.592
1615,0.041,0.496,0.042,0.323,0.006,0.537
1616,0.21,0.249,0.264,0.119,0.179,0.301
1617,0.383,0.218,0.466,0.143,0.411,0.32
1618,0.56,0.341,0.615,0.087,0.59,0.31
1619,0.673,0.268,0.708,0.026,0.71,0.207
1620,0.728,0.239,0.752,0.004,0.767,0.139
1621,0.734,0.27,0.747,0.001,0.778,0.1
1622,0.674,0.335,0.695,0.002,0.739,0.085
1623,0.562,0.379,0.597,0.004,0.641,0.075
1624,0.395,0.402,0.446,0.005,0.493,0.062
1625,0.185,0.423,0.244,0.006,0.29,0.041
1626,0.016,0.524,0.042,0.008,0.072,0.026
1627,0,0.654,0,0.011,0,0.031
1628,0,0.694,0,0.016,0,0.049
1629,0,0.666,0,0.027,0,0.057
1630,0,0.608,0,0.058,0,0.062
1631,0,0.556,0,0.192,0,0.081
1632,0,0.532,0,0.483,0,0.128
1633,0,0.521,0,0.706,0,0.188
1634,0,0.523,0,0.773,0,0.237
1635,0,0.484,0,0.78,0,0.304
1636,0,0.41,0,0.764,0,0.374
1637,0,0.367,0,0.742,0,0.453
1638,0,0.319,0,0.706,0,0.54
1639,0.071,0.272,0.045,0.579,0.006,0.614
1640,0.313,0.091,0.273,0.352,0.17,0.526
1641,0.523,0.09,0.478,0.358,0.39,0.323
1642,0.669,0.147,0.626,0.201,0.563,0.095
1643,0.761,0.106,0.718,0.074,0.683,0.018
1644,0.795,0.096,0.757,0.017,0.747,0.022
1645,0.783,0.1,0.749,0.004,0.739,0.044
1646,0.723,0.104,0.696,0.002,0.67,0.097
1647,0.604,0.086,0.599,0.001,0.507,0.179
1648,0.435,0.064,0.449,0.001,0.347,0.29
1649,0.215,0.053,0.247,0.001,0.176,0.405
1650,0.021,0.038,0.043,0.001,0.037,0.48
1651,0,0.007,0,0.003,0,0.514
1652,0,0.001,0,0.017,0,0.545
1653,0,0.003,0,0.049,0,0.562
1654,0,0.033,0,0.14,0,0.547
1655,0,0.107,0,0.341,0,0.526
1656,0,0.216,0,0.574,0,0.548
1657,0,0.359,0,0.685,0,0.587
1658,0,0.505,0,0.711,0,0.57
1659,0,0.636,0,0.696,0,0.486
1660,0,0.739,0,0.672,0,0.332
1661,0,0.807,0,0.641,0,0.176
1662,0,0.84,0,0.599,0,0.08
1663,0.06,0.8,0.042,0.481,0.007,0.04
1664,0.277,0.512,0.257,0.222,0.168,0.014
1665,0.46,0.416,0.46,0.164,0.395,0.04
1666,0.589,0.85,0.609,0.05,0.58,0.063
1667,0.653,0.842,0.701,0.001,0.705,0.08
1668,0.717,0.82,0.75,0,0.754,0.12
1669,0.706,0.799,0.743,0.001,0.768,0.161
1670,0.545,0.758,0.691,0.003,0.731,0.171
1671,0.367,0.661,0.594,0.007,0.613,0.168
1672,0.187,0.453,0.445,0.011,0.462,0.173
1673,0.078,0.233,0.246,0.013,0.262,0.182
1674,0.004,0.149,0.044,0.023,0.065,0.189
1675,0,0.225,0,0.068,0,0.217
1676,0,0.512,0,0.169,0,0.222
1677,0,0.701,0,0.355,0,0.224
1678,0,0.768,0,0.608,0,0.222
1679,0,0.792,0,0.712,0,0.235
1680,0,0.788,0,0.731,0,0.254
1681,0,0.765,0,0.725,0,0.268
1682,0,0.737,0,0.724,0,0.285
1683,0,0.701,0,0.707,0,0.346
1684,0,0.68,0,0.671,0,0.443
1685,0,0.654,0,0.614,0,0.532
1686,0,0.618,0,0.551,0,0.622
1687,0.053,0.505,0.044,0.433,0.008,0.696
1688,0.261,0.228,0.261,0.321,0.149,0.597
1689,0.465,0.29,0.464,0.479,0.313,0.392
1690,0.611,0.257,0.613,0.423,0.51,0.261
1691,0.709,0.1,0.705,0.29,0.676,0.141
1692,0.66,0.044,0.743,0.176,0.752,0.098
1693,0.574,0.047,0.737,0.105,0.698,0.086
1694,0.526,0.069,0.686,0.067,0.439,0.103
1695,0.444,0.101,0.588,0.036,0.533,0.092
1696,0.31,0.137,0.437,0.017,0.472,0.076
1697,0.106,0.24,0.238,0.011,0.172,0.073
1698,0.005,0.394,0.042,0.021,0.03,0.082
1699,0,0.525,0,0.047,0,0.143
1700,0,0.691,0,0.112,0,0.272
1701,0,0.707,0,0.253,0,0.322
1702,0,0.707,0,0.415,0,0.354
1703,0,0.718,0,0.524,0,0.417
1704,0,0.699,0,0.586,0,0.397
1705,0,0.685,0,0.613,0,0.264
1706,0,0.632,0,0.622,0,0.144
1707,0,0.526,0,0.61,0,0.185
1708,0,0.428,0,0.576,0,0.236
1709,0,0.355,0,0.531,0,0.27
1710,0,0.301,0,0.476,0,0.295
1711,0.023,0.237,0.044,0.359,0.006,0.342
1712,0.141,0.082,0.258,0.203,0.147,0.292
1713,0.258,0.022,0.459,0.169,0.376,0.197
1714,0.3,0.025,0.606,0.069,0.548,0.132
1715,0.225,0.06,0.699,0.016,0.681,0.075
1716,0.236,0.095,0.739,0.001,0.73,0.055
1717,0.266,0.097,0.734,0,0.711,0.046
1718,0.261,0.048,0.683,0,0.619,0.038
1719,0.228,0.014,0.573,0.001,0.513,0.022
1720,0.177,0.006,0.406,0.002,0.354,0.008
1721,0.106,0.02,0.215,0.003,0.179,0.001
1722,0.012,0.114,0.038,0.006,0.039,0
1723,0,0.255,0,0.034,0,0.001
1724,0,0.369,0,0.109,0,0.047
1725,0,0.439,0,0.237,0,0.159
1726,0,0.471,0,0.388,0,0.28
1727,0,0.508,0,0.486,0,0.395
1728,0,0.562,0,0.545,0,0.481
1729,0,0.601,0,0.57,0,0.531
1730,0,0.596,0,0.559,0,0.545
1731,0,0.537,0,0.512,0,0.551
1732,0,0.472,0,0.442,0,0.541
1733,0,0.42,0,0.391,0,0.536
1734,0,0.37,0,0.382,0,0.54
1735,0.046,0.321,0.028,0.33,0.007,0.536
1736,0.221,0.143,0.171,0.216,0.16,0.359
1737,0.41,0.102,0.319,0.186,0.382,0.293
1738,0.545,0.112,0.455,0.12,0.561,0.219
1739,0.623,0.066,0.497,0.064,0.684,0.127
1740,0.593,0.063,0.545,0.025,0.736,0.106
1741,0.523,0.085,0.492,0.006,0.75,0.124
1742,0.45,0.136,0.482,0.001,0.711,0.152
1743,0.34,0.204,0.431,0,0.62,0.17
1744,0.233,0.283,0.331,0.001,0.473,0.183
1745,0.116,0.412,0.205,0.003,0.277,0.193
1746,0.012,0.642,0.043,0.023,0.074,0.222
1747,0,0.777,0,0.098,0,0.317
1748,0,0.745,0,0.179,0,0.397
1749,0,0.622,0,0.243,0,0.483
1750,0,0.469,0,0.28,0,0.545
1751,0,0.397,0,0.29,0,0.559
1752,0,0.384,0,0.266,0,0.561
1753,0,0.421,0,0.227,0,0.571
1754,0,0.479,0,0.202,0,0.59
1755,0,0.499,0,0.205,0,0.59
1756,0,0.479,0,0.238,0,0.56
1757,0,0.442,0,0.303,0,0.525
1758,0,0.416,0,0.386,0,0.528
1759,0.064,0.335,0.047,0.387,0.01,0.581
1760,0.284,0.106,0.263,0.279,0.187,0.455
1761,0.495,0.186,0.464,0.303,0.414,0.29
1762,0.645,0.282,0.612,0.251,0.589,0.243
1763,0.738,0.191,0.703,0.175,0.71,0.151
1764,0.788,0.134,0.749,0.109,0.774,0.086
1765,0.777,0.118,0.743,0.057,0.785,0.054
1766,0.716,0.124,0.694,0.023,0.743,0.05
1767,0.601,0.139,0.596,0.009,0.656,0.076
1768,0.431,0.153,0.449,0.003,0.513,0.124
1769,0.214,0.195,0.253,0.001,0.314,0.153
1770,0.025,0.361,0.05,0.006,0.091,0.19
1771,0,0.563,0,0.061,0,0.308
1772,0,0.673,0,0.165,0,0.414
1773,0,0.727,0,0.216,0,0.509
1774,0,0.747,0,0.184,0,0.579
1775,0,0.736,0,0.158,0,0.579
1776,0,0.715,0,0.159,0,0.549
1777,0,0.704,0,0.177,0,0.551
1778,0,0.701,0,0.185,0,0.569
1779,0,0.691,0,0.167,0,0.577
1780,0,0.671,0,0.148,0,0.576
1781,0,0.628,0,0.175,0,0.589
1782,0,0.559,0,0.237,0,0.596
1783,0.06,0.41,0.052,0.252,0.009,0.563
1784,0.301,0.124,0.269,0.253,0.108,0.357
1785,0.516,0.141,0.465,0.502,0.222,0.171
1786,0.66,0.284,0.605,0.537,0.392,0.237
1787,0.75,0.144,0.694,0.512,0.614,0.16
1788,0.779,0.068,0.733,0.444,0.742,0.123
1789,0.748,0.036,0.728,0.355,0.779,0.112
1790,0.619,0.031,0.678,0.273,0.745,0.092
1791,0.453,0.042,0.583,0.206,0.655,0.083
1792,0.311,0.061,0.435,0.163,0.509,0.084
1793,0.133,0.091,0.241,0.143,0.303,0.083
1794,0.01,0.196,0.046,0.212,0.089,0.103
1795,0,0.322,0,0.42,0,0.217
1796,0,0.423,0,0.537,0,0.325
1797,0,0.499,0,0.573,0,0.367
1798,0,0.512,0,0.562,0,0.348
1799,0,0.491,0,0.563,0,0.29
1800,0,0.486,0,0.573,0,0.215
1801,0,0.496,0,0.52,0,0.14
1802,0,0.491,0,0.451,0,0.082
1803,0,0.463,0,0.387,0,0.062
1804,0,0.431,0,0.336,0,0.068
1805,0,0.387,0,0.294,0,0.087
1806,0,0.353,0,0.239,0,0.131
1807,0.039,0.31,0.038,0.148,0.011,0.196
1808,0.229,0.103,0.232,0.062,0.184,0.187
1809,0.462,0.05,0.442,0.086,0.404,0.049
1810,0.626,0.047,0.591,0.119,0.575,0.004
1811,0.729,0.023,0.685,0.114,0.691,0.015
1812,0.774,0.02,0.732,0.099,0.746,0.029
1813,0.763,0.024,0.729,0.084,0.757,0.048
1814,0.704,0.034,0.681,0.064,0.718,0.063
1815,0.587,0.047,0.585,0.04,0.629,0.065
1816,0.423,0.07,0.44,0.021,0.486,0.058
1817,0.213,0.109,0.247,0.012,0.292,0.049
1818,0.027,0.186,0.049,0.014,0.083,0.041
1819,0,0.284,0,0.05,0,0.03
1820,0,0.391,0,0.132,0,0.022
1821,0,0.491,0,0.206,0,0.022
1822,0,0.576,0,0.229,0,0.02
1823,0,0.639,0,0.208,0,0.024
1824,0,0.66,0,0.171,0,0.056
1825,0,0.636,0,0.156,0,0.092
1826,0,0.568,0,0.167,0,0.097
1827,0,0.431,0,0.177,0,0.087
1828,0,0.283,0,0.168,0,0.092
1829,0,0.223,0,0.14,0,0.1
1830,0,0.203,0,0.099,0,0.097
1831,0.079,0.138,0.053,0.05,0.007,0.087
1832,0.304,0.023,0.272,0.018,0.075,0.11
1833,0.494,0.002,0.471,0.042,0.161,0.148
1834,0.641,0.001,0.616,0.009,0.275,0.121
1835,0.733,0.005,0.709,0.002,0.342,0.038
1836,0.772,0.05,0.751,0.002,0.439,0.022
1837,0.759,0.072,0.745,0.004,0.516,0.057
1838,0.681,0.056,0.695,0.005,0.425,0.147
1839,0.56,0.092,0.597,0.007,0.287,0.152
1840,0.391,0.171,0.45,0.01,0.239,0.008
1841,0.117,0.223,0.255,0.015,0.201,0.002
1842,0.01,0.317,0.053,0.028,0.074,0.005
1843,0,0.399,0,0.062,0,0.044
1844,0,0.289,0,0.11,0,0.112
1845,0,0.204,0,0.224,0,0.178
1846,0,0.312,0,0.478,0,0.244
1847,0,0.527,0,0.693,0,0.33
1848,0,0.673,0,0.775,0,0.42
1849,0,0.715,0,0.801,0,0.496
1850,0,0.704,0,0.781,0,0.562
1851,0,0.623,0,0.715,0,0.608
1852,0,0.483,0,0.628,0,0.637
1853,0,0.336,0,0.548,0,0.661
1854,0,0.233,0,0.483,0,0.666
1855,0.073,0.176,0.057,0.34,0.012,0.638
1856,0.291,0.06,0.278,0.158,0.195,0.416
1857,0.491,0.056,0.476,0.164,0.421,0.252
1858,0.629,0.405,0.616,0.067,0.597,0.386
1859,0.716,0.468,0.705,0.006,0.714,0.505
1860,0.757,0.435,0.744,0.004,0.77,0.619
1861,0.746,0.376,0.739,0.014,0.779,0.683
1862,0.688,0.301,0.689,0.036,0.738,0.731
1863,0.577,0.235,0.594,0.053,0.634,0.747
1864,0.416,0.17,0.446,0.056,0.483,0.74
1865,0.211,0.104,0.252,0.053,0.285,0.717
1866,0.028,0.074,0.052,0.063,0.081,0.649
1867,0,0.133,0,0.099,0,0.584
1868,0,0.274,0,0.148,0,0.525
1869,0,0.439,0,0.286,0,0.474
1870,0,0.57,0,0.515,0,0.37
1871,0,0.648,0,0.667,0,0.213
1872,0,0.684,0,0.739,0,0.073
1873,0,0.691,0,0.759,0,0.036
1874,0,0.689,0,0.761,0,0.12
1875,0,0.668,0,0.745,0,0.284
1876,0,0.647,0,0.716,0,0.359
1877,0,0.643,0,0.684,0,0.284
1878,0,0.645,0,0.635,0,0.15
1879,0.065,0.595,0.05,0.48,0.013,0.049
1880,0.266,0.348,0.255,0.222,0.184,0.005
1881,0.461,0.341,0.452,0.166,0.401,0.01
1882,0.599,0.588,0.597,0.06,0.572,0.018
1883,0.674,0.607,0.689,0.021,0.685,0
1884,0.711,0.533,0.737,0.026,0.74,0
1885,0.707,0.37,0.734,0.049,0.749,0
1886,0.659,0.205,0.685,0.079,0.71,0.006
1887,0.544,0.092,0.583,0.097,0.628,0.01
1888,0.384,0.028,0.436,0.103,0.486,0.011
1889,0.18,0.004,0.244,0.107,0.295,0.03
1890,0.02,0.013,0.05,0.135,0.089,0.092
1891,0,0.152,0,0.254,0,0.394
1892,0,0.386,0,0.451,0,0.7
1893,0,0.526,0,0.667,0,0.777
1894,0,0.565,0,0.75,0,0.756
1895,0,0.567,0,0.766,0,0.712
1896,0,0.556,0,0.706,0,0.663
1897,0,0.538,0,0.622,0,0.628
1898,0,0.508,0,0.581,0,0.618
1899,0,0.421,0,0.548,0,0.628
1900,0,0.297,0,0.524,0,0.647
1901,0,0.205,0,0.484,0,0.681
1902,0,0.121,0,0.421,0,0.732
1903,0.057,0.053,0.054,0.267,0.012,0.766
1904,0.239,0.006,0.263,0.163,0.174,0.668
1905,0.451,0.001,0.46,0.342,0.395,0.573
1906,0.596,0.01,0.606,0.228,0.562,0.491
1907,0.685,0.017,0.698,0.102,0.673,0.254
1908,0.718,0.007,0.739,0.043,0.724,0.1
1909,0.715,0.001,0.735,0.022,0.735,0.031
1910,0.656,0,0.686,0.018,0.693,0.012
1911,0.55,0,0.594,0.021,0.598,0.004
1912,0.383,0.008,0.449,0.024,0.455,0.002
1913,0.18,0.049,0.257,0.027,0.267,0.01
1914,0.023,0.219,0.056,0.031,0.075,0.029
1915,0,0.515,0,0.032,0,0.103
1916,0,0.7,0,0.041,0,0.195
1917,0,0.754,0,0.069,0,0.302
1918,0,0.771,0,0.185,0,0.453
1919,0,0.779,0,0.476,0,0.594
1920,0,0.78,0,0.718,0,0.661
1921,0,0.775,0,0.8,0,0.683
1922,0,0.775,0,0.814,0,0.697
1923,0,0.794,0,0.797,0,0.722
1924,0,0.799,0,0.771,0,0.746
1925,0,0.775,0,0.745,0,0.775
1926,0,0.732,0,0.724,0,0.816
1927,0.077,0.596,0.059,0.625,0.012,0.842
1928,0.298,0.211,0.276,0.494,0.163,0.694
1929,0.5,0.256,0.472,0.65,0.369,0.461
1930,0.643,0.636,0.615,0.515,0.535,0.312
1931,0.735,0.617,0.706,0.308,0.651,0.126
1932,0.78,0.648,0.751,0.155,0.713,0.072
1933,0.77,0.724,0.746,0.08,0.726,0.047
1934,0.71,0.804,0.696,0.056,0.688,0.013
1935,0.599,0.841,0.597,0.047,0.599,0.002
1936,0.439,0.834,0.449,0.04,0.446,0.002
1937,0.232,0.766,0.254,0.036,0.242,0.004
1938,0.035,0.733,0.054,0.05,0.078,0.014
1939,0,0.771,0,0.077,0,0.065
1940,0,0.704,0,0.081,0,0.155
1941,0,0.701,0,0.094,0,0.312
1942,0,0.717,0,0.13,0,0.524
1943,0,0.692,0,0.185,0,0.68
1944,0,0.68,0,0.279,0,0.718
1945,0,0.665,0,0.388,0,0.692
1946,0,0.624,0,0.478,0,0.708
1947,0,0.617,0,0.516,0,0.725
1948,0,0.692,0,0.516,0,0.75
1949,0,0.755,0,0.494,0,0.761
1950,0,0.783,0,0.453,0,0.779
1951,0.084,0.727,0.057,0.336,0.011,0.79
1952,0.305,0.376,0.268,0.145,0.145,0.637
1953,0.5,0.395,0.463,0.211,0.334,0.508
1954,0.638,0.936,0.603,0.231,0.516,0.663
1955,0.721,0.927,0.694,0.141,0.636,0.552
1956,0.748,0.904,0.733,0.1,0.716,0.461
1957,0.738,0.894,0.729,0.095,0.726,0.412
1958,0.677,0.893,0.679,0.107,0.687,0.41
1959,0.566,0.888,0.584,0.105,0.589,0.362
1960,0.407,0.875,0.439,0.091,0.444,0.23
1961,0.205,0.817,0.248,0.086,0.258,0.119
1962,0.029,0.737,0.053,0.103,0.076,0.111
1963,0,0.75,0,0.128,0,0.148
1964,0,0.723,0,0.151,0,0.212
1965,0,0.703,0,0.201,0,0.314
1966,0,0.728,0,0.282,0,0.42
1967,0,0.706,0,0.351,0,0.467
1968,0,0.636,0,0.387,0,0.525
1969,0,0.558,0,0.371,0,0.551
1970,0,0.546,0,0.308,0,0.59
1971,0,0.598,0,0.215,0,0.658
1972,0,0.636,0,0.143,0,0.715
1973,0,0.654,0,0.103,0,0.76
1974,0,0.671,0,0.081,0,0.728
1975,0.068,0.579,0.055,0.055,0.012,0.552
1976,0.267,0.233,0.26,0.024,0.131,0.478
1977,0.461,0.199,0.454,0.085,0.268,0.727
1978,0.6,0.355,0.593,0.127,0.496,0.794
1979,0.69,0.29,0.683,0.08,0.637,0.625
1980,0.733,0.384,0.727,0.053,0.65,0.359
1981,0.72,0.43,0.723,0.05,0.578,0.267
1982,0.659,0.447,0.675,0.076,0.61,0.246
1983,0.553,0.41,0.579,0.119,0.549,0.29
1984,0.383,0.29,0.435,0.16,0.376,0.33
1985,0.163,0.237,0.246,0.194,0.18,0.286
1986,0.027,0.491,0.054,0.235,0.044,0.135
1987,0,0.841,0,0.294,0,0.102
1988,0,0.902,0,0.304,0,0.073
1989,0,0.882,0,0.302,0,0.047
1990,0,0.843,0,0.317,0,0.035
1991,0,0.785,0,0.33,0,0.04
1992,0,0.706,0,0.346,0,0.059
1993,0,0.595,0,0.376,0,0.065
1994,0,0.465,0,0.41,0,0.083
1995,0,0.36,0,0.489,0,0.098
1996,0,0.283,0,0.577,0,0.115
1997,0,0.266,0,0.644,0,0.116
1998,0,0.272,0,0.677,0,0.091
1999,0.032,0.223,0.056,0.587,0.014,0.054
2000,0.139,0.125,0.258,0.53,0.168,0.02
2001,0.267,0.136,0.448,0.598,0.373,0.004
2002,0.417,0.164,0.587,0.513,0.542,0.016
2003,0.528,0.074,0.677,0.369,0.659,0.045
2004,0.579,0.039,0.715,0.236,0.728,0.075
2005,0.545,0.068,0.712,0.16,0.738,0.096
2006,0.497,0.106,0.664,0.122,0.701,0.112
2007,0.447,0.142,0.565,0.092,0.599,0.132
2008,0.324,0.232,0.422,0.078,0.465,0.184
2009,0.155,0.35,0.236,0.073,0.283,0.3
2010,0.025,0.523,0.051,0.071,0.09,0.352
2011,0,0.743,0,0.083,0,0.442
2012,0,0.836,0,0.073,0,0.491
2013,0,0.846,0,0.057,0,0.419
2014,0,0.788,0,0.047,0,0.391
2015,0,0.683,0,0.025,0,0.295
2016,0,0.612,0,0.017,0,0.285
2017,0,0.545,0,0.024,0,0.276
2018,0,0.523,0,0.021,0,0.251
2019,0,0.619,0,0.017,0,0.188
2020,0,0.625,0,0.017,0,0.152
2021,0,0.629,0,0.02,0,0.183
2022,0,0.624,0,0.043,0,0.165
2023,0.077,0.425,0.051,0.116,0.019,0.166
2024,0.288,0.121,0.246,0.219,0.205,0.121
2025,0.485,0.303,0.438,0.336,0.419,0.048
2026,0.627,0.52,0.585,0.334,0.583,0.012
2027,0.717,0.527,0.679,0.335,0.692,0.004
2028,0.755,0.486,0.727,0.343,0.744,0.002
2029,0.745,0.524,0.725,0.344,0.753,0.002
2030,0.688,0.566,0.677,0.342,0.698,0.002
2031,0.579,0.597,0.585,0.329,0.589,0.006
2032,0.421,0.648,0.441,0.29,0.448,0.011
2033,0.218,0.669,0.251,0.253,0.271,0.013
2034,0.033,0.666,0.054,0.227,0.096,0.01
2035,0,0.624,0,0.216,0,0.004
2036,0,0.546,0,0.167,0,0
2037,0,0.456,0,0.084,0,0
2038,0,0.391,0,0.032,0,0.005
2039,0,0.486,0,0.036,0,0.031
2040,0,0.545,0,0.042,0,0.056
2041,0,0.571,0,0.145,0,0.085
2042,0,0.516,0,0.295,0,0.138
2043,0,0.541,0,0.377,0,0.204
2044,0,0.537,0,0.33,0,0.256
2045,0,0.337,0,0.237,0,0.316
2046,0,0.226,0,0.169,0,0.395
2047,0.059,0.231,0.058,0.092,0.016,0.472
2048,0.222,0.103,0.267,0.02,0.155,0.37
2049,0.464,0.081,0.461,0.002,0.36,0.212
2050,0.629,0.387,0.602,0.002,0.527,0.102
2051,0.713,0.398,0.691,0.004,0.635,0.048
2052,0.734,0.373,0.734,0.007,0.689,0.026
2053,0.694,0.381,0.731,0.016,0.688,0.018
2054,0.603,0.4,0.683,0.04,0.645,0.015
2055,0.48,0.405,0.586,0.06,0.544,0.014
2056,0.326,0.393,0.442,0.064,0.43,0.015
2057,0.146,0.332,0.253,0.064,0.267,0.024
2058,0.024,0.301,0.058,0.068,0.072,0.037
2059,0,0.286,0,0.073,0,0.055
2060,0,0.269,0,0.096,0,0.112
2061,0,0.235,0,0.134,0,0.205
2062,0,0.194,0,0.151,0,0.318
2063,0,0.174,0,0.175,0,0.45
2064,0,0.161,0,0.21,0,0.559
2065,0,0.152,0,0.245,0,0.618
2066,0,0.142,0,0.271,0,0.616
2067,0,0.121,0,0.287,0,0.59
2068,0,0.097,0,0.285,0,0.576
2069,0,0.092,0,0.261,0,0.555
2070,0,0.114,0,0.226,0,0.504
2071,0.055,0.129,0.056,0.162,0.012,0.458
2072,0.205,0.046,0.261,0.074,0.104,0.272
2073,0.405,0.016,0.454,0.136,0.244,0.092
2074,0.561,0.094,0.594,0.144,0.435,0.029
2075,0.657,0.154,0.684,0.104,0.62,0.035
2076,0.687,0.267,0.718,0.081,0.7,0.064
2077,0.594,0.399,0.714,0.077,0.719,0.087
2078,0.41,0.474,0.666,0.088,0.682,0.097
2079,0.304,0.451,0.573,0.11,0.597,0.092
2080,0.288,0.357,0.426,0.123,0.427,0.077
2081,0.189,0.243,0.245,0.137,0.205,0.072
2082,0.033,0.15,0.057,0.195,0.058,0.083
2083,0,0.086,0,0.296,0,0.104
2084,0,0.043,0,0.331,0,0.15
2085,0,0.016,0,0.33,0,0.266
2086,0,0.005,0,0.305,0,0.434
2087,0,0.003,0,0.272,0,0.573
2088,0,0.002,0,0.238,0,0.671
2089,0,0.002,0,0.208,0,0.71
2090,0,0.001,0,0.172,0,0.704
2091,0,0,0,0.129,0,0.635
2092,0,0,0,0.102,0,0.519
2093,0,0,0,0.087,0,0.307
2094,0,0,0,0.081,0,0.097
2095,0.072,0.002,0.058,0.07,0.016,0.012
2096,0.264,0.001,0.259,0.037,0.172,0
2097,0.451,0,0.448,0.122,0.371,0.002
2098,0.585,0.007,0.588,0.317,0.528,0.002
2099,0.67,0.022,0.679,0.322,0.632,0.02
2100,0.708,0.069,0.723,0.284,0.648,0.047
2101,0.694,0.175,0.72,0.226,0.609,0.078
2102,0.608,0.326,0.672,0.188,0.482,0.105
2103,0.412,0.446,0.575,0.167,0.383,0.135
2104,0.236,0.494,0.433,0.16,0.294,0.19
2105,0.13,0.436,0.248,0.152,0.174,0.238
2106,0.027,0.381,0.058,0.143,0.067,0.282
2107,0,0.345,0,0.121,0,0.346
2108,0,0.319,0,0.083,0,0.326
2109,0,0.348,0,0.051,0,0.267
2110,0,0.378,0,0.055,0,0.208
2111,0,0.355,0,0.079,0,0.165
2112,0,0.296,0,0.091,0,0.129
2113,0,0.224,0,0.105,0,0.092
2114,0,0.159,0,0.14,0,0.066
2115,0,0.092,0,0.169,0,0.067
2116,0,0.041,0,0.177,0,0.114
2117,0,0.015,0,0.159,0,0.246
2118,0,0.006,0,0.119,0,0.423
2119,0.063,0.007,0.057,0.064,0.019,0.553
2120,0.251,0.006,0.253,0.018,0.186,0.471
2121,0.438,0.003,0.441,0.002,0.391,0.799
2122,0.569,0.001,0.58,0.016,0.551,0.879
2123,0.656,0.001,0.67,0.019,0.653,0.781
2124,0.683,0.001,0.709,0.014,0.709,0.622
2125,0.673,0,0.705,0.009,0.713,0.498
2126,0.617,0,0.656,0.005,0.672,0.429
2127,0.515,0,0.565,0.004,0.578,0.349
2128,0.365,0.002,0.423,0.005,0.443,0.261
2129,0.182,0.02,0.239,0.009,0.265,0.211
2130,0.03,0.144,0.055,0.026,0.085,0.256
2131,0,0.4,0,0.103,0,0.405
2132,0,0.608,0,0.214,0,0.491
2133,0,0.679,0,0.362,0,0.53
2134,0,0.658,0,0.512,0,0.527
2135,0,0.59,0,0.628,0,0.501
2136,0,0.491,0,0.727,0,0.479
2137,0,0.405,0,0.723,0,0.483
2138,0,0.362,0,0.658,0,0.52
2139,0,0.405,0,0.598,0,0.577
2140,0,0.531,0,0.54,0,0.645
2141,0,0.642,0,0.495,0,0.706
2142,0,0.692,0,0.442,0,0.75
2143,0.077,0.52,0.054,0.345,0.018,0.766
2144,0.275,0.211,0.242,0.272,0.175,0.56
2145,0.465,0.321,0.427,0.288,0.402,0.244
2146,0.603,0.515,0.568,0.184,0.567,0.091
2147,0.694,0.498,0.658,0.087,0.671,0.001
2148,0.742,0.585,0.706,0.044,0.704,0
2149,0.741,0.701,0.702,0.036,0.715,0.005
2150,0.688,0.776,0.655,0.044,0.68,0.017
2151,0.565,0.799,0.562,0.058,0.597,0.041
2152,0.397,0.8,0.424,0.07,0.459,0.092
2153,0.219,0.79,0.243,0.082,0.276,0.097
2154,0.047,0.803,0.058,0.109,0.091,0.119
2155,0,0.825,0,0.186,0,0.261
2156,0,0.785,0,0.352,0,0.345
2157,0,0.792,0,0.573,0,0.295
2158,0,0.838,0,0.715,0,0.163
