Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
257,4528.0,14657.0,37600.0
258,4819.0,15426.0,36557.0
259,5157.0,16409.0,35484.0
260,4998.0,15403.0,34274.0
261,4615.0,13734.0,33095.0
262,4102.0,13217.0,32227.0
263,3688.0,14680.0,30963.0
264,3233.0,15468.0,30198.0
265,2843.0,14922.0,30105.0
266,2590.0,14351.0,30466.0
267,2452.0,14033.0,30888.0
268,2405.0,13343.0,31372.0
269,2501.0,12341.0,32153.0
270,3051.0,13673.0,33822.0
271,4282.0,17584.0,35870.0
272,5136.0,20241.0,36828.0
273,5263.0,19037.0,36703.0
274,5382.0,16871.0,36445.0
275,5611.0,15605.0,37652.0
276,5496.0,14242.0,38861.0
277,5237.0,13005.0,38811.0
278,4675.0,13092.0,38447.0
279,4579.0,13308.0,38680.0
280,4543.0,13440.0,38371.0
281,4524.0,14268.0,37305.0
282,4876.0,14826.0,36238.0
283,5351.0,16041.0,35541.0
284,5123.0,14952.0,34984.0
285,4626.0,13702.0,33479.0
286,4134.0,13280.0,32402.0
287,3756.0,14791.0,31391.0
288,3275.0,15618.0,30453.0
289,2847.0,15011.0,30264.0
290,2606.0,14509.0,30760.0
291,2497.0,14065.0,31593.0
292,2435.0,13472.0,31662.0
293,2518.0,12369.0,32270.0
294,3062.0,13660.0,33453.0
295,4226.0,17737.0,34956.0
296,5042.0,20033.0,36208.0
297,5260.0,19503.0,36805.0
298,5455.0,17721.0,36720.0
299,5697.0,16488.0,37754.0
300,5576.0,14941.0,39115.0
301,5348.0,14307.0,39282.0
302,4686.0,13698.0,38871.0
303,4772.0,13917.0,38870.0
304,4706.0,14497.0,38838.0
305,4706.0,15046.0,38574.0
306,4973.0,15559.0,37309.0
307,5246.0,16229.0,36032.0
308,5019.0,15137.0,34736.0
309,4575.0,13515.0,33611.0
310,4059.0,12898.0,32484.0
311,3630.0,14075.0,31298.0
312,3208.0,14815.0,30548.0
313,2838.0,14404.0,30296.0
314,2564.0,13991.0,30841.0
315,2452.0,13669.0,31587.0
316,2416.0,13074.0,31411.0
317,2482.0,12206.0,31795.0
318,3058.0,13426.0,33001.0
319,4331.0,17395.0,34636.0
320,5152.0,19831.0,35984.0
321,5328.0,19589.0,36297.0
322,5567.0,18049.0,36465.0
323,5828.0,16608.0,37102.0
324,5644.0,15524.0,38367.0
325,5376.0,14483.0,38484.0
326,4855.0,13760.0,38022.0
327,4772.0,13565.0,37801.0
328,4713.0,14167.0,37847.0
329,4639.0,14651.0,37379.0
330,4914.0,15119.0,36181.0
331,5361.0,15990.0,35201.0
332,5135.0,14969.0,33842.0
333,4671.0,13412.0,32537.0
334,4065.0,12996.0,31255.0
335,3639.0,14391.0,30254.0
336,3261.0,15096.0,29468.0
337,8478.0,13764.0,33738.0
338,7955.0,13631.0,33272.0
339,7557.0,13015.0,32956.0
340,7192.0,12259.0,32996.0
341,6848.0,11844.0,33126.0
342,6548.0,12692.0,34138.0
343,6431.0,13401.0,36511.0
344,6357.0,13202.0,36887.0
345,6445.0,12305.0,37305.0
346,6638.0,12353.0,35911.0
347,7183.0,12025.0,35459.0
348,7551.0,12231.0,36855.0
349,7793.0,12305.0,37177.0
350,7684.0,12350.0,36567.0
351,8097.0,11997.0,36834.0
352,8269.0,11700.0,37238.0
353,8115.0,11494.0,36616.0
354,7807.0,10917.0,35639.0
355,7534.0,10573.0,34387.0
356,7603.0,12048.0,35219.0
357,7798.0,13220.0,35310.0
358,7914.0,12890.0,34363.0
359,8314.0,13687.0,33850.0
360,8486.0,14178.0,34164.0
361,8060.0,13034.0,33419.0
362,7608.0,12789.0,33034.0
363,7251.0,12574.0,32643.0
364,6913.0,12263.0,32575.0
365,6644.0,11692.0,33064.0
